rank,word,length,language
7,that,4,english
12,with,4,english
24,which,5,english
25,have,4,english
27,from,4,english
28,this,4,english
33,they,4,english
34,were,4,english
39,their,5,english
42,said,4,english
43,them,4,english
46,would,5,english
47,been,4,english
48,will,4,english
50,when,4,english
51,there,5,english
53,more,4,english
56,into,4,english
59,your,4,english
60,what,4,english
63,could,5,english
64,other,5,english
65,than,4,english
67,some,4,english
68,very,4,english
69,time,4,english
70,upon,4,english
71,about,5,english
74,only,4,english
76,like,4,english
77,little,6,english
78,then,4,english
80,should,6,english
81,made,4,english
84,such,4,english
86,great,5,english
87,before,6,english
88,must,4,english
90,these,5,english
92,know,4,english
93,over,4,english
94,much,4,english
95,down,4,english
96,after,5,english
97,first,5,english
99,good,4,english
102,never,5,english
103,most,4,english
105,shall,5,english
107,where,5,english
108,those,5,english
109,came,4,english
110,come,4,english
111,himself,7,english
113,work,4,english
114,life,4,english
115,without,7,english
117,make,4,english
118,well,4,english
119,through,7,english
120,being,5,english
121,long,4,english
123,might,5,english
127,even,4,english
129,again,5,english
130,many,4,english
131,back,4,english
132,here,4,english
133,think,5,english
134,every,5,english
135,people,6,english
136,went,4,english
137,same,4,english
138,last,4,english
139,thought,7,english
140,away,4,english
141,under,5,english
142,take,4,english
143,found,5,english
144,hand,4,english
145,eyes,4,english
146,still,5,english
147,place,5,english
148,while,5,english
149,just,4,english
150,also,4,english
151,young,5,english
153,though,6,english
154,against,7,english
155,things,6,english
157,ever,4,english
158,give,4,english
160,years,5,english
162,face,4,english
163,nothing,7,english
164,right,5,english
165,once,4,english
166,another,7,english
167,left,4,english
168,part,4,english
170,house,5,english
171,world,5,english
172,head,4,english
173,three,5,english
174,took,4,english
176,love,4,english
177,always,6,english
180,night,5,english
181,each,4,english
182,king,4,english
183,between,7,english
184,tell,4,english
185,mind,4,english
186,heart,5,english
188,because,7,english
189,thing,5,english
190,whom,4,english
192,seemed,6,english
193,looked,6,english
194,called,6,english
195,whole,5,english
198,both,4,english
200,find,4,english
201,done,4,english
202,heard,5,english
203,look,4,english
204,name,4,english
205,days,4,english
206,told,4,english
208,lord,4,english
209,country,7,english
210,asked,5,english
211,going,5,english
212,seen,4,english
213,better,6,english
215,having,6,english
216,home,4,english
217,knew,4,english
218,side,4,english
219,something,9,english
220,moment,6,english
221,father,6,english
222,among,5,english
223,course,6,english
224,hands,5,english
225,woman,5,english
226,enough,6,english
227,words,5,english
228,mother,6,english
229,soon,4,english
230,full,4,english
232,gave,4,english
233,room,4,english
234,almost,6,english
235,small,5,english
236,thou,4,english
237,cannot,6,english
238,water,5,english
239,want,4,english
240,however,7,english
241,light,5,english
242,quite,5,english
243,brought,7,english
245,word,4,english
246,whose,5,english
247,given,5,english
248,door,4,english
249,best,4,english
250,turned,6,english
251,taken,5,english
